description,hashtag,tag_accounts,description_Emoji,description_Language,description_Translated,clean_text,Hobby,Skincare_Treatment,Work_Event,Fitness,Lifestyle_Health,Shop_Business_Advertisement,Beauty_Makeup,Travel_Celebrations,Food,Life_Happiness,dominant_topic,polarity,neg,neu,pos,compound
"Hey Singapore, Vaccinate Already?
 
Be ready to be entertained by Wang Lei 王雷, Marcus Chin 陈建彬, and Liu Ling Ling 刘玲玲 as they bring you this colourful Dialect/Mandarin getai-inspired music video, encouraging our seniors to get vaccinated! 
 
Vaccination protects you from serious illness if infected, so encourage seniors to get their jab if they have not done so! Walk in at any Vaccination Centre, polyclinic or participating GPs to get vaccinated. No appointments needed.
 
立即观看我们全新的方言/华语音乐视频，看艺人们载歌载舞，鼓励年长者去接种疫苗哦！
 
疫苗能降低患严重疾病的风险 。如果身边有年长者还没接种疫苗，那就鼓励他们赶快行动吧！您可直接到任何一家疫苗接种中心、综合诊疗所、或参与计划的私人诊所接种疫苗，无需预约。
 
#igotmyshotsg",#igotmyshotsg,,,en,"Hey Singapore, Vaccinate Already?
 
Be ready to be entertained by Wang Lei , Marcus Chin , and Liu Ling Ling  as they bring you this colourful Dialect/Mandarin getai-inspired music video, encouraging our seniors to get vaccinated! 
 
Vaccination protects you from serious illness if infected, so encourage seniors to get their jab if they have not done so! Walk in at any Vaccination Centre, polyclinic or participating GPs to get vaccinated. No appointments needed.
 
/
 
 
 
#igotmyshotsg", singapor vaccin alreadi readi entertain wang  marcu chin  ling ling bring colour dialect mandarin getai inspir music video encourag senior  vaccin vaccin protect seriou ill infect encourag senior   done  walk vaccin centr polyclin particip   vaccin appoint need igotmyshotsg,0.01,0.01,0.01,0.41,0.45,0.01,0.01,0.01,0.01,0.1,2,"{'neg': 0.066, 'neu': 0.82, 'pos': 0.115, 'compound': 0.2732}",0.066,0.82,0.115,0.2732
#ICYMI Here are some SMMs that were eased! Continue to exercise personal responsibility. #COVID19,#ICYMI #COVID19,,,en,#ICYMI Here are some SMMs that were eased! Continue to exercise personal responsibility. #COVID19, icymi smm eas continu exercis person respons covid,0.01,0.01,0.01,0.5,0.01,0.44,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Check out the new #TEL3 stops and tell us which is your favourite! 🚇 Find out more at go.gov.sg/tel3opening

Watch the full series at go.gov.sg/outandabout (link in bio)",#TEL3,,metro,en,"Check out the new #TEL3 stops and tell us which is your favourite!  Find out more at go.gov.sg/tel3opening

Watch the full series at go.gov.sg/outandabout (link in bio)",check   stop tell  favourit find    telopen watch full seri    outandabout link  ,0.0,0.0,0.61,0.28,0.0,0.0,0.06,0.0,0.0,0.03,1,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",0.18,0.82,0.0,-0.296
"They say #breakfast is the most important meal of the day. But what goes on #behindthescenes at the #hawkercentre before your first meal is served?

Catch the first episode of this three-part series celebrating #OurHawkerCulture hosted by @kfseetoh and @davidroccosvita now at sg.sg/HawkerStoriesEp1

Like this post to pledge your support for Singapore’s UNESCO bid for hawker culture!

#whatmakessg #tiongbahrumarket #hawkerfood #sghawker #sghawkerfood",#breakfast #behindthescenes #hawkercentre #OurHawkerCulture #whatmakessg #tiongbahrumarket #hawkerfood #sghawker #sghawkerfood,@kfseetoh @davidroccosvita,,en,"They say #breakfast is the most important meal of the day. But what goes on #behindthescenes at the #hawkercentre before your first meal is served?

Catch the first episode of this three-part series celebrating #OurHawkerCulture hosted by @kfseetoh and @davidroccosvita now at sg.sg/HawkerStoriesEp1

Like this post to pledge your support for Singapores UNESCO bid for hawker culture!

#whatmakessg #tiongbahrumarket #hawkerfood #sghawker #sghawkerfood", breakfast import meal  goe behindthescen hawkercentr first meal serv catch first episod three part seri celebr ourhawkercultur host   hawkerstoriesep like post pledg support singapor unesco  hawker cultur whatmakessg tiongbahrumarket hawkerfood sghawker sghawkerfood,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,9,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.6369}",0.0,0.852,0.148,0.6369
"COVID-19 will not change who we are as a nation and our resolve to rise above challenges. 
Let’s celebrate our Singapore spirit, look out for one another, stay strong and united 🇸🇬 #OnwardSingapore #SGUnited #SingaporeTogether",#OnwardSingapore #SGUnited #SingaporeTogether,,flag: Singapore,en,"COVID-19 will not change who we are as a nation and our resolve to rise above challenges. 
Lets celebrate our Singapore spirit, look out for one another, stay strong and united  #OnwardSingapore #SGUnited #SingaporeTogether",covid  chang nation resolv rise challeng let celebr singapor spirit look  anoth stay strong unit onwardsingapor sgunit singaporetogeth,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.32,3,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.6124}",0.0,0.762,0.238,0.6124
"To all our healthcare workers, thank you for your sacrifices! Tag a healthcare worker you know to show you care.",,,,en,"To all our healthcare workers, thank you for your sacrifices! Tag a healthcare worker you know to show you care.",healthcar worker thank sacrific  healthcar worker know show care ,0.02,0.02,0.47,0.02,0.4,0.02,0.02,0.02,0.02,0.02,1,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}",0.0,0.551,0.449,0.6908
Every day feels like a #WesAnderson movie where we work 👀 Remember to spread the ❤️ this coming #LabourDay!,#WesAnderson #LabourDay,,"red heart, eyes",en,Every day feels like a #WesAnderson movie where we work  Remember to spread the  this coming #LabourDay!,everi  feel like wesanderson movi work rememb spread come labourday ,0.1,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.66,8,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.0,0.783,0.217,0.3612
Try these #Deepavali activities at the Indian Heritage Centre from 1 - 23 Oct 2022 🤩,#Deepavali,,star-struck,en,Try these #Deepavali activities at the Indian Heritage Centre from 1 - 23 Oct 2022 , deepavali activ indian heritag centr    ,0.0,0.0,0.0,0.66,0.17,0.14,0.0,0.0,0.0,0.0,3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"Here’s the story of 4 young Singaporeans who have found ways to give back to the community, especially those badly affected by COVID-19.

Sung by @aisyaah_aziz  @benjaminkheng @narellekheng @shabirmusic and directed by young director Shoki Lin, this is dedicated to all Singaporeans whose efforts have breathed deeper meaning to Zubir Said’s “Semoga Bahagia”.

Read the stories of the youths here: ✨

🍲 The ""Beng"" who feeds the hungry: go.gov.sg/sb-bengwhocooks

😷 Siblings sew masks for low-income families: go.gov.sg/sb-beatriceandadriel

🛍 Avid volunteer delivers meals to 500 families: go.gov.sg/sb-rini

💻 Self-taught engineer repairs laptops for needy students: go.gov.sg/sb-darin",,@aisyaah_aziz @benjaminkheng @narellekheng @shabirmusic,"sparkles, face with medical mask, pot of food, laptop, shopping bags",en,"Heres the story of 4 young Singaporeans who have found ways to give back to the community, especially those badly affected by COVID-19.

Sung by @aisyaah_aziz  @benjaminkheng @narellekheng @shabirmusic and directed by young director Shoki Lin, this is dedicated to all Singaporeans whose efforts have breathed deeper meaning to Zubir Saids Semoga Bahagia.

Read the stories of the youths here: 

 The ""Beng"" who feeds the hungry: go.gov.sg/sb-bengwhocooks

 Siblings sew masks for low-income families: go.gov.sg/sb-beatriceandadriel

 Avid volunteer delivers meals to 500 families: go.gov.sg/sb-rini

 Self-taught engineer repairs laptops for needy students: go.gov.sg/sb-darin",here stori  young singaporean found way give back commun especi badli affect covid  sung direct young director shoki  dedic singaporean whose effort breath deeper mean zubir said semoga bahagia read stori youth beng feed hungri     bengwhocook sibl  mask  incom famili     beatriceandadriel avid volunt deliv meal  famili     rini self taught engin repair laptop needi student     ,0.01,0.01,0.37,0.57,0.01,0.01,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.296}",0.0,0.96,0.04,0.296
"Your Covid-19 questions answered:

How can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationSG",#vaccineqnsanswered #vaccinationSG,,,en,"Your Covid-19 questions answered:

How can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationSG",covid  question answer vaccin safe develop quickli vaccineqnsansw vaccinationsg,0.0,0.0,0.11,0.68,0.0,0.19,0.0,0.0,0.0,0.0,3,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.0,0.734,0.266,0.4404
"Singaporeans all over the island cheering our front liners on and showing love in a time of COVID-19.

At a time when we need to ensure safe distancing to protect one another, we are closer and more connected than ever #SGUnited

Thank you to all whose clips have made this video possible 🙏😊",#SGUnited,,"smiling face with smiling eyes, folded hands",en,"Singaporeans all over the island cheering our front liners on and showing love in a time of COVID-19.

At a time when we need to ensure safe distancing to protect one another, we are closer and more connected than ever #SGUnited

Thank you to all whose clips have made this video possible ",singaporean island cheer front liner show love time covid  time need ensur safe distanc protect  anoth closer connect ever sgunit thank whose clip made video possibl,0.01,0.01,0.07,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9382}",0.0,0.575,0.425,0.9382
"Happy birthday, Singapore! 🎉 

Have you ever spotted someone overseas and instantly knew that it was a fellow Singaporean 🇸🇬? Comment below 👇 with the quirks of a Singaporean, the #tellmechallenge way!

#OurSGSpirit",#tellmechallenge #OurSGSpirit,,"party popper, backhand index pointing down, flag: Singapore",en,"Happy birthday, Singapore!  

Have you ever spotted someone overseas and instantly knew that it was a fellow Singaporean ? Comment below  with the quirks of a Singaporean, the #tellmechallenge way!

#OurSGSpirit",happi birthday singapor ever spot someon oversea instantli knew fellow singaporean comment quirk singaporean tellmechalleng  oursgspirit,0.08,0.0,0.19,0.66,0.06,0.0,0.0,0.0,0.0,0.0,3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"🍜”Hawker meals under $3? Is that possible?” 🤔
.
🥘Will Sarah and friends be able to find delicious hawker meals for $3 or less? Watch to find out! 🍛
.
🍳Tell us your favourite place to get a good meal for $3 or less! 🥙",,,"thinking face, shallow pan of food, curry rice, steaming bowl, cooking, stuffed flatbread",en,"Hawker meals under $3? Is that possible? 
.
Will Sarah and friends be able to find delicious hawker meals for $3 or less? Watch to find out! 
.
Tell us your favourite place to get a good meal for $3 or less! ",hawker meal  possibl sarah friend abl find delici hawker meal  less watch find  tell  favourit place  good meal  less ,0.0,0.0,0.76,0.0,0.0,0.22,0.0,0.0,0.0,0.0,1,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.7269}",0.0,0.736,0.264,0.7269
"From 29 August 2022, indoor masking is optional except for these places! Stay safe everyone ❤️ #COVID19",#COVID19,,red heart,en,"From 29 August 2022, indoor masking is optional except for these places! Stay safe everyone  #COVID19", august  indoor mask option except place stay safe everyon covid,0.0,0.0,0.51,0.0,0.08,0.15,0.0,0.22,0.03,0.0,1,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.0,0.756,0.244,0.4404
"Don't play play! Singapore's favourite contractor is back to rally Singaporeans to get their COVID-19 vaccines!
Visit igotmyshot.gov.sg for more info. 
#IGotMyShotSG",#IGotMyShotSG,,,en,"Don't play play! Singapore's favourite contractor is back to rally Singaporeans to get their COVID-19 vaccines!
Visit igotmyshot.gov.sg for more info. 
#IGotMyShotSG",play play singapor  favourit contractor back ralli singaporean  covid  vaccin visit igotmyshot   info igotmyshotsg,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5859}",0.0,0.714,0.286,0.5859
"“This year, National Day falls amidst COVID-19. We are not able to celebrate in our usual way, but we are determined still to hold the Parade as a symbol of our unity as a nation.” 🇸🇬

Missed the National Day Message this morning? Read on for some highlights, or watch the full message here: https://youtu.be/dG1FFGsN4Dw 

#NDP2020 #TogetherStrongerSG #OurHeartforSG",#NDP2020 #TogetherStrongerSG #OurHeartforSG,,flag: Singapore,en,"This year, National Day falls amidst COVID-19. We are not able to celebrate in our usual way, but we are determined still to hold the Parade as a symbol of our unity as a nation. 

Missed the National Day Message this morning? Read on for some highlights, or watch the full message here: https://youtu.be/dG1FFGsN4Dw 

#NDP2020 #TogetherStrongerSG #OurHeartforSG",year nation  fall amidst covid  abl celebr usual  determin still hold parad symbol uniti nation miss nation  messag morn read highlight watch full messag  togetherstrongersg ourheartforsg,0.0,0.0,0.0,0.0,0.18,0.24,0.0,0.0,0.0,0.55,8,"{'neg': 0.057, 'neu': 0.857, 'pos': 0.086, 'compound': 0.2023}",0.057,0.857,0.086,0.2023
"“I never thought I would get COVID-19, but I tested positive. You wouldn’t want to go through that. That’s why I’m getting my shot.”",,,,en,"I never thought I would get COVID-19, but I tested positive. You wouldnt want to go through that. Thats why Im getting my shot.",never thought would  covid  test posit wouldnt want  that  get shot ,0.0,0.0,0.26,0.5,0.03,0.21,0.0,0.0,0.0,0.0,3,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.0572}",0.109,0.891,0.0,-0.0572
"Vaccination remains our primary line of defence as we move towards an endemic COVID-19. Refer ⬆️ for the latest guidelines.

More info at go.gov.sg/mohpr090223 (link in bio)

Infographic: @moh_singapore",,@moh_singapore,up arrow,en,"Vaccination remains our primary line of defence as we move towards an endemic COVID-19. Refer  for the latest guidelines.

More info at go.gov.sg/mohpr090223 (link in bio)

Infographic: @moh_singapore",vaccin remain primari line defenc move toward endem covid  refer latest guidelin info    mohpr link  infograph ,0.01,0.01,0.01,0.32,0.01,0.46,0.01,0.15,0.01,0.01,9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
Suraya is coming home after 3 years to celebrate Raya with her family. Will it be a “relaxed” one? Watch on to see how the family prepares for the #FamilyReunion 🎉 #SurayaBalikRaya #Raya2023,#FamilyReunion #SurayaBalikRaya #Raya2023,,party popper,en,Suraya is coming home after 3 years to celebrate Raya with her family. Will it be a relaxed one? Watch on to see how the family prepares for the #FamilyReunion  #SurayaBalikRaya #Raya2023,suraya come home  year celebr raya famili relax  watch  famili prepar familyreunion surayabalikraya raya,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.41,3,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.0,0.818,0.182,0.4404
"From 16 May to 13 Jun 2021, further restrictions will be imposed on higher risk settings to minimise transmission of the virus in the community in a swift and decisive way.

Let's stay vigilant to keep our families and community safe.

For more: go.gov.sg/mtf14may-ig (link in Bio)",,,,en,"From 16 May to 13 Jun 2021, further restrictions will be imposed on higher risk settings to minimise transmission of the virus in the community in a swift and decisive way.

Let's stay vigilant to keep our families and community safe.

For more: go.gov.sg/mtf14may-ig (link in Bio)",     restrict impos higher risk set minimis transmiss viru commun swift decis    stay vigil keep famili commun safe    mtfmay  link  ,0.0,0.0,0.0,0.53,0.0,0.36,0.08,0.0,0.0,0.0,3,"{'neg': 0.193, 'neu': 0.615, 'pos': 0.193, 'compound': -0.0}",0.193,0.615,0.193,-0.0
COVID-19 vaccines under the National Vaccination Programme offer significant protection against the virus. Get vaccinated to protect yourself and your loved ones today.,,,,en,COVID-19 vaccines under the National Vaccination Programme offer significant protection against the virus. Get vaccinated to protect yourself and your loved ones today.,covid  vaccin nation vaccin programm offer signific protect viru  vaccin protect love one today ,0.0,0.15,0.58,0.0,0.09,0.0,0.05,0.0,0.11,0.0,1,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.8555}",0.0,0.539,0.461,0.8555
"Your Covid-19 questions answered:
 
Do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationSG",#vaccineqnsanswered #vaccinationSG,,,en,"Your Covid-19 questions answered:
 
Do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationSG",covid  question answer still need practis safe manag measur get vaccin vaccineqnsansw vaccinationsg,0.01,0.01,0.51,0.42,0.01,0.01,0.01,0.01,0.01,0.01,1,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.0,0.805,0.195,0.4404
📢 don’t need to think so hard anymore - choose healthier drinks with A and B Nutri-grades #KnowYourDrinksBetter #NutriGrade #HealthierSG,#KnowYourDrinksBetter #NutriGrade #HealthierSG,,loudspeaker,en, dont need to think so hard anymore - choose healthier drinks with A and B Nutri-grades #KnowYourDrinksBetter #NutriGrade #HealthierSG,dont need think hard anymor choos healthier drink  nutri grade knowyourdrinksbett nutrigrad healthiersg,0.0,0.0,0.0,0.76,0.0,0.22,0.0,0.0,0.0,0.0,3,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.0762}",0.0,0.903,0.097,0.0762
"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG",#vaccineqnsanswered #vaccinationSG,,,en,"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG",covid  question answer vaccin prevent covid  viru carrier vaccineqnsansw vaccinationsg,0.18,0.0,0.0,0.18,0.17,0.4,0.0,0.0,0.06,0.0,9,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.0258}",0.0,0.891,0.109,0.0258
"From 8 May to 30 May 2021, safe management measures will be tightened to reduce the risk of community spread.

Let's remain vigilant in the fight against COVID-19.

For more: go.gov.sg/mtf4may-heightened-alert-ig (link in Bio)",,,,en,"From 8 May to 30 May 2021, safe management measures will be tightened to reduce the risk of community spread.

Let's remain vigilant in the fight against COVID-19.

For more: go.gov.sg/mtf4may-heightened-alert-ig (link in Bio)",     safe manag measur tighten reduc risk commun spread   remain vigil fight covid     mtfmay heighten alert  link  ,0.01,0.01,0.01,0.57,0.01,0.34,0.01,0.01,0.01,0.01,3,"{'neg': 0.216, 'neu': 0.55, 'pos': 0.234, 'compound': 0.1027}",0.216,0.55,0.234,0.1027
"Love unites us all – just ask Rasathi and her family! 
 
Let’s celebrate this joyful Deepavali with our family and loved ones!",,,,en,"Love unites us all  just ask Rasathi and her family! 
 
Lets celebrate this joyful Deepavali with our family and loved ones!",love unit   rasathi famili let celebr joy deepavali famili love one ,0.0,0.0,0.0,0.34,0.0,0.62,0.0,0.0,0.0,0.0,9,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.9217}",0.0,0.396,0.604,0.9217
"It’s not the flights that make the bird, but its wings to soar no matter where. Planes may be grounded, but it doesn’t stop air stewardess Lilin from doing what she does best – with grit, empathy and a smile. Find out how she overcomes her immediate challenges and picks up a meaningful role.",,,,en,"Its not the flights that make the bird, but its wings to soar no matter where. Planes may be grounded, but it doesnt stop air stewardess Lilin from doing what she does best  with grit, empathy and a smile. Find out how she overcomes her immediate challenges and picks up a meaningful role.",flight make bird wing soar matter plane  ground doesnt stop  stewardess lilin best grit empathi smile find overcom immedi challeng pick meaning role ,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.19,0.01,0.01,3,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.8266}",0.0,0.662,0.338,0.8266
"Suspicions are raised when individuals in dark hoods are spotted lurking around the estate. 

What foul plans do they have in store for the neighbourhood? And can our residents thwart them in time to keep their homes #SGSecure?

Find out more ➡️ sgsecure.gov.sg
Watch the full series at go.gov.sg/thatonemyneighbour (link in bio)",#SGSecure,,right arrow,en,"Suspicions are raised when individuals in dark hoods are spotted lurking around the estate.

What foul plans do they have in store for the neighbourhood? And can our residents thwart them in time to keep their homes #SGSecure?

Find out more  sgsecure.gov.sg
Watch the full series at go.gov.sg/thatonemyneighbour (link in bio)",suspicion rais individu dark hood spot lurk around estat foul plan store neighbourhood resid thwart time keep home sgsecur find sgsecur   watch full seri    thatonemyneighbour link  ,0.01,0.01,0.01,0.5,0.01,0.16,0.3,0.01,0.01,0.01,3,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5267}",0.155,0.845,0.0,-0.5267
